date,temperature_2m_max,temperature_2m_min,precipitation_sum,sunshine_duration,wind_direction_10m_dominant,wind_speed_10m_max,wind_gusts_10m_max,wind_speed_10m_mean,precipitation_probability_mean
2026-05-12,9.865,3.765,4.5999994,36541.062,279.86313,24.606731,54.0,14.633738,30.666666
2026-05-13,13.464999,4.265,0.1,30848.777,257.33804,16.299694,41.399998,9.878857,2.375
2026-05-14,12.8215,7.3215,1.3000001,2643.5212,235.62723,13.979871,38.88,9.544847,29.625
2026-05-15,14.5215,3.9215,0.3,48323.74,75.96373,10.296251,26.28,5.858872,29.541666
2026-05-16,9.1215,4.9715,43.8,0.0,295.76416,14.336861,38.16,8.8848,70.083336
2026-05-17,11.308001,5.8580003,1.5,26646.66,279.3147,13.390571,35.28,10.688883,12.395833
2026-05-18,14.008,1.8080001,0.0,45616.855,25.529598,6.297428,15.84,4.4896193,4.6666665
