date,temperature_2m_max,temperature_2m_min,precipitation_sum,sunshine_duration,wind_direction_10m_dominant,wind_speed_10m_max,wind_gusts_10m_max,wind_speed_10m_mean,precipitation_probability_mean
2026-05-12,15.740999,5.291,0.0,41811.824,286.13907,26.64,56.519997,10.995,1.0833334
2026-05-13,13.341,9.091,3.6,30691.922,282.19186,21.96,46.44,16.215,36.125
2026-05-14,13.6045,6.913625,1.4749999,36812.07,337.25317,15.4800005,32.760002,11.0287485,26.125
2026-05-15,11.1045,6.8045,1.2,51314.62,345.70404,14.759999,32.039997,11.939999,12.666667
2026-05-16,13.6545,7.7045,0.3,38854.887,285.0513,13.679999,30.960001,7.47,7.5833335
2026-05-17,15.304501,8.4545,2.4,21937.94,235.65195,13.679999,28.08,8.174999,26.5
2026-05-18,16.7,8.8545,0.6,55984.64,256.96915,11.159999,26.28,7.9464874,27.75
