date,temperature_2m_max,temperature_2m_min,precipitation_sum,sunshine_duration,wind_direction_10m_dominant,wind_speed_10m_max,wind_gusts_10m_max,wind_speed_10m_mean,precipitation_probability_mean
2026-04-19,18.215,10.014999,1.4000001,21082.693,278.5475,17.873556,43.56,10.67481,29.541666
2026-04-20,14.115,6.515,0.1,42599.793,332.91815,13.392774,32.039997,6.013702,7.25
2026-04-21,12.0715,4.1215,0.0,46281.094,19.583714,10.233123,28.8,6.036087,11.791667
2026-04-22,13.9215,1.7715001,0.0,47997.016,57.78347,11.988594,33.839996,7.062415,1.2083334
2026-04-23,16.2215,1.7715001,0.0,49519.332,281.3393,12.287555,33.12,6.6993475,0.125
2026-04-24,16.958,1.708,0.0,49642.83,285.5089,14.277983,32.399998,7.340079,0.15625
2026-04-25,16.358,2.858,0.3,49750.14,276.06168,22.881956,50.76,14.520422,5.2916665
