date,temperature_2m_max,temperature_2m_min,precipitation_sum,sunshine_duration,wind_direction_10m_dominant,wind_speed_10m_max,wind_gusts_10m_max,wind_speed_10m_mean,precipitation_probability_mean
2026-04-17,17.491,11.540999,0.1,28623.402,212.81133,19.08,41.039997,13.575,7.8333335
2026-04-18,16.741,9.341,1.0,44428.305,295.00198,14.759999,31.68,10.74,6.125
2026-04-19,14.6045,7.213625,0.0,50160.29,11.625929,13.679999,29.16,9.596251,3.4166667
2026-04-20,12.0045,7.0045004,0.0,39923.16,43.20879,11.159999,27.0,8.204999,3.2916667
2026-04-21,12.304501,5.0545,0.0,50400.0,44.833023,20.519999,41.760002,14.025,5.9166665
2026-04-22,14.7045,7.1545,0.0,50400.0,65.87848,23.4,48.6,18.525,2.3333333
2026-04-23,16.7,6.6045003,0.0,50400.0,46.436874,14.4,32.399998,11.619035,0.5
